Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T061_001
"41051003200","14000US41051003200","Census Tract 32, Multnomah County, Oregon","Census Tract 32, Multnomah County, Oregon","or","140","00","ACSSF","0001462",,,,,"41","051",,,,"003200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114896
"41051003301","14000US41051003301","Census Tract 33.01, Multnomah County, Oregon","Census Tract 33.01, Multnomah County, Oregon","or","140","00","ACSSF","0001463",,,,,"41","051",,,,"003301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69152
"41051003302","14000US41051003302","Census Tract 33.02, Multnomah County, Oregon","Census Tract 33.02, Multnomah County, Oregon","or","140","00","ACSSF","0001464",,,,,"41","051",,,,"003302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86875
"41051003401","14000US41051003401","Census Tract 34.01, Multnomah County, Oregon","Census Tract 34.01, Multnomah County, Oregon","or","140","00","ACSSF","0001465",,,,,"41","051",,,,"003401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60739
"41051003402","14000US41051003402","Census Tract 34.02, Multnomah County, Oregon","Census Tract 34.02, Multnomah County, Oregon","or","140","00","ACSSF","0001466",,,,,"41","051",,,,"003402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66207
"41051003501","14000US41051003501","Census Tract 35.01, Multnomah County, Oregon","Census Tract 35.01, Multnomah County, Oregon","or","140","00","ACSSF","0001467",,,,,"41","051",,,,"003501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75938
"41051003502","14000US41051003502","Census Tract 35.02, Multnomah County, Oregon","Census Tract 35.02, Multnomah County, Oregon","or","140","00","ACSSF","0001468",,,,,"41","051",,,,"003502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106333
"41051003601","14000US41051003601","Census Tract 36.01, Multnomah County, Oregon","Census Tract 36.01, Multnomah County, Oregon","or","140","00","ACSSF","0001469",,,,,"41","051",,,,"003601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66389
"41051003602","14000US41051003602","Census Tract 36.02, Multnomah County, Oregon","Census Tract 36.02, Multnomah County, Oregon","or","140","00","ACSSF","0001470",,,,,"41","051",,,,"003602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74688
"41051003603","14000US41051003603","Census Tract 36.03, Multnomah County, Oregon","Census Tract 36.03, Multnomah County, Oregon","or","140","00","ACSSF","0001471",,,,,"41","051",,,,"003603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69861
"41051003701","14000US41051003701","Census Tract 37.01, Multnomah County, Oregon","Census Tract 37.01, Multnomah County, Oregon","or","140","00","ACSSF","0001472",,,,,"41","051",,,,"003701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65833
"41051003702","14000US41051003702","Census Tract 37.02, Multnomah County, Oregon","Census Tract 37.02, Multnomah County, Oregon","or","140","00","ACSSF","0001473",,,,,"41","051",,,,"003702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90821
