"lon","lat","group","income","geoid","inc_level"
-122.709702704708,45.4817395563477,109,97813,"14000US41051001102","normal"
-122.710178705375,45.4818005552235,109,97813,"14000US41051001102","normal"
-122.710332705821,45.4818345546143,109,97813,"14000US41051001102","normal"
-122.710503706519,45.481873553749,109,97813,"14000US41051001102","normal"
-122.710834708177,45.4819625525609,109,97813,"14000US41051001102","normal"
-122.71113870946,45.4820935522576,109,97813,"14000US41051001102","normal"
-122.712934716839,45.4828695470075,109,97813,"14000US41051001102","normal"
-122.716470732299,45.484468538161,109,97813,"14000US41051001102","normal"
-122.716692733809,45.4845645376421,109,97813,"14000US41051001102","normal"
-122.71728073576,45.4848005360717,109,97813,"14000US41051001102","normal"
-122.717736737768,45.4849575350192,109,97813,"14000US41051001102","normal"
-122.718045739257,45.4850565334252,109,97813,"14000US41051001102","normal"
-122.718324740521,45.4851365326607,109,97813,"14000US41051001102","normal"
-122.718669741615,45.4852125320701,109,97813,"14000US41051001102","normal"
-122.718844741101,45.4852475314254,109,97813,"14000US41051001102","normal"
-122.743837936636,45.5106534663956,110,51324,"14000US41051001201","low"
-122.743845946727,45.512503466611,110,51324,"14000US41051001201","low"
-122.743854957756,45.5143944664883,110,51324,"14000US41051001201","low"
-122.743857964676,45.5157484662194,110,51324,"14000US41051001201","low"
-122.743856965699,45.5159014662343,110,51324,"14000US41051001201","low"
-122.74385796957,45.5166594663019,110,51324,"14000US41051001201","low"
-122.743537970356,45.516836467315,110,51324,"14000US41051001201","low"
-122.74315897118,45.5170744684379,110,51324,"14000US41051001201","low"
-122.742288972145,45.5176864718209,110,51324,"14000US41051001201","low"
-122.741501974085,45.5181474747039,110,51324,"14000US41051001201","low"
-122.740973974309,45.5183794767724,110,51324,"14000US41051001201","low"
-122.738914974023,45.5190354845218,110,51324,"14000US41051001201","low"
-122.738434974146,45.5191984859847,110,51324,"14000US41051001201","low"
-122.73743097342,45.5195024895663,110,51324,"14000US41051001201","low"
-122.737151973175,45.5195694906087,110,51324,"14000US41051001201","low"
-122.736317972474,45.519618493655,110,51324,"14000US41051001201","low"
-122.735647969644,45.5195014961804,110,51324,"14000US41051001201","low"
-122.735101968071,45.5193844978513,110,51324,"14000US41051001201","low"
-122.733570964081,45.5190575034916,110,51324,"14000US41051001201","low"
-122.731731957546,45.5186935096348,110,51324,"14000US41051001201","low"
-122.731532957444,45.5186655105825,110,51324,"14000US41051001201","low"
-122.731223956791,45.5186435118636,110,51324,"14000US41051001201","low"
-122.730942956491,45.5186535125431,110,51324,"14000US41051001201","low"
