"Geo_FIPS","Geo_GEOID","Geo_NAME","Geo_QName","Geo_TRACT","SE_T061_001","TRACT","TRACT_NO","FIPS"
41051006601,"14000US41051006601","Census Tract 66.01, Multnomah County, Oregon","Census Tract 66.01, Multnomah County, Oregon",6601,113264,NA,NA,NA
41051006602,"14000US41051006602","Census Tract 66.02, Multnomah County, Oregon","Census Tract 66.02, Multnomah County, Oregon",6602,67458,NA,NA,NA
41051006701,"14000US41051006701","Census Tract 67.01, Multnomah County, Oregon","Census Tract 67.01, Multnomah County, Oregon",6701,98836,NA,NA,NA
41051006702,"14000US41051006702","Census Tract 67.02, Multnomah County, Oregon","Census Tract 67.02, Multnomah County, Oregon",6702,73724,NA,NA,NA
41051006801,"14000US41051006801","Census Tract 68.01, Multnomah County, Oregon","Census Tract 68.01, Multnomah County, Oregon",6801,131838,NA,NA,NA
41051006802,"14000US41051006802","Census Tract 68.02, Multnomah County, Oregon","Census Tract 68.02, Multnomah County, Oregon",6802,124545,NA,NA,NA
41051006900,"14000US41051006900","Census Tract 69, Multnomah County, Oregon","Census Tract 69, Multnomah County, Oregon",6900,166316,NA,NA,NA
41051007000,"14000US41051007000","Census Tract 70, Multnomah County, Oregon","Census Tract 70, Multnomah County, Oregon",7000,184091,NA,NA,NA
41051007100,"14000US41051007100","Census Tract 71, Multnomah County, Oregon","Census Tract 71, Multnomah County, Oregon",7100,102292,NA,NA,NA
41051007201,"14000US41051007201","Census Tract 72.01, Multnomah County, Oregon","Census Tract 72.01, Multnomah County, Oregon",7201,86319,NA,NA,NA
41051007202,"14000US41051007202","Census Tract 72.02, Multnomah County, Oregon","Census Tract 72.02, Multnomah County, Oregon",7202,65400,NA,NA,NA
41051007300,"14000US41051007300","Census Tract 73, Multnomah County, Oregon","Census Tract 73, Multnomah County, Oregon",7300,39063,NA,NA,NA
41051007400,"14000US41051007400","Census Tract 74, Multnomah County, Oregon","Census Tract 74, Multnomah County, Oregon",7400,39833,NA,NA,NA
41051007500,"14000US41051007500","Census Tract 75, Multnomah County, Oregon","Census Tract 75, Multnomah County, Oregon",7500,54931,NA,NA,NA
41051007600,"14000US41051007600","Census Tract 76, Multnomah County, Oregon","Census Tract 76, Multnomah County, Oregon",7600,39759,NA,NA,NA
41051007700,"14000US41051007700","Census Tract 77, Multnomah County, Oregon","Census Tract 77, Multnomah County, Oregon",7700,55526,NA,NA,NA
41051007800,"14000US41051007800","Census Tract 78, Multnomah County, Oregon","Census Tract 78, Multnomah County, Oregon",7800,58375,NA,NA,NA
41051007900,"14000US41051007900","Census Tract 79, Multnomah County, Oregon","Census Tract 79, Multnomah County, Oregon",7900,53810,NA,NA,NA
41051008001,"14000US41051008001","Census Tract 80.01, Multnomah County, Oregon","Census Tract 80.01, Multnomah County, Oregon",8001,59868,NA,NA,NA
41051008002,"14000US41051008002","Census Tract 80.02, Multnomah County, Oregon","Census Tract 80.02, Multnomah County, Oregon",8002,64514,NA,NA,NA
41051008100,"14000US41051008100","Census Tract 81, Multnomah County, Oregon","Census Tract 81, Multnomah County, Oregon",8100,43244,NA,NA,NA
41051008201,"14000US41051008201","Census Tract 82.01, Multnomah County, Oregon","Census Tract 82.01, Multnomah County, Oregon",8201,49598,NA,NA,NA
41051008202,"14000US41051008202","Census Tract 82.02, Multnomah County, Oregon","Census Tract 82.02, Multnomah County, Oregon",8202,48750,NA,NA,NA
41051008301,"14000US41051008301","Census Tract 83.01, Multnomah County, Oregon","Census Tract 83.01, Multnomah County, Oregon",8301,28352,NA,NA,NA
41051008302,"14000US41051008302","Census Tract 83.02, Multnomah County, Oregon","Census Tract 83.02, Multnomah County, Oregon",8302,38750,NA,NA,NA
41051008400,"14000US41051008400","Census Tract 84, Multnomah County, Oregon","Census Tract 84, Multnomah County, Oregon",8400,39234,NA,NA,NA
41051008500,"14000US41051008500","Census Tract 85, Multnomah County, Oregon","Census Tract 85, Multnomah County, Oregon",8500,50818,NA,NA,NA
41051008600,"14000US41051008600","Census Tract 86, Multnomah County, Oregon","Census Tract 86, Multnomah County, Oregon",8600,43884,NA,NA,NA
41051008700,"14000US41051008700","Census Tract 87, Multnomah County, Oregon","Census Tract 87, Multnomah County, Oregon",8700,55898,NA,NA,NA
41051008800,"14000US41051008800","Census Tract 88, Multnomah County, Oregon","Census Tract 88, Multnomah County, Oregon",8800,64803,NA,NA,NA
41051008901,"14000US41051008901","Census Tract 89.01, Multnomah County, Oregon","Census Tract 89.01, Multnomah County, Oregon",8901,73526,NA,NA,NA
41051008902,"14000US41051008902","Census Tract 89.02, Multnomah County, Oregon","Census Tract 89.02, Multnomah County, Oregon",8902,56500,NA,NA,NA
41051009000,"14000US41051009000","Census Tract 90, Multnomah County, Oregon","Census Tract 90, Multnomah County, Oregon",9000,37441,NA,NA,NA
41051009101,"14000US41051009101","Census Tract 91.01, Multnomah County, Oregon","Census Tract 91.01, Multnomah County, Oregon",9101,37786,NA,NA,NA
41051009102,"14000US41051009102","Census Tract 91.02, Multnomah County, Oregon","Census Tract 91.02, Multnomah County, Oregon",9102,55547,NA,NA,NA
41051009201,"14000US41051009201","Census Tract 92.01, Multnomah County, Oregon","Census Tract 92.01, Multnomah County, Oregon",9201,45915,NA,NA,NA
41051009202,"14000US41051009202","Census Tract 92.02, Multnomah County, Oregon","Census Tract 92.02, Multnomah County, Oregon",9202,47455,NA,NA,NA
41051009301,"14000US41051009301","Census Tract 93.01, Multnomah County, Oregon","Census Tract 93.01, Multnomah County, Oregon",9301,53912,NA,NA,NA
41051009302,"14000US41051009302","Census Tract 93.02, Multnomah County, Oregon","Census Tract 93.02, Multnomah County, Oregon",9302,70625,NA,NA,NA
41051009400,"14000US41051009400","Census Tract 94, Multnomah County, Oregon","Census Tract 94, Multnomah County, Oregon",9400,67813,NA,NA,NA
41051009501,"14000US41051009501","Census Tract 95.01, Multnomah County, Oregon","Census Tract 95.01, Multnomah County, Oregon",9501,56500,NA,NA,NA
41051009502,"14000US41051009502","Census Tract 95.02, Multnomah County, Oregon","Census Tract 95.02, Multnomah County, Oregon",9502,63636,NA,NA,NA
41051009603,"14000US41051009603","Census Tract 96.03, Multnomah County, Oregon","Census Tract 96.03, Multnomah County, Oregon",9603,57000,NA,NA,NA
41051009604,"14000US41051009604","Census Tract 96.04, Multnomah County, Oregon","Census Tract 96.04, Multnomah County, Oregon",9604,29591,NA,NA,NA
41051009605,"14000US41051009605","Census Tract 96.05, Multnomah County, Oregon","Census Tract 96.05, Multnomah County, Oregon",9605,37899,NA,NA,NA
41051009606,"14000US41051009606","Census Tract 96.06, Multnomah County, Oregon","Census Tract 96.06, Multnomah County, Oregon",9606,43326,NA,NA,NA
41051009701,"14000US41051009701","Census Tract 97.01, Multnomah County, Oregon","Census Tract 97.01, Multnomah County, Oregon",9701,46570,NA,NA,NA
41051009702,"14000US41051009702","Census Tract 97.02, Multnomah County, Oregon","Census Tract 97.02, Multnomah County, Oregon",9702,42733,NA,NA,NA
41051009801,"14000US41051009801","Census Tract 98.01, Multnomah County, Oregon","Census Tract 98.01, Multnomah County, Oregon",9801,30167,NA,NA,NA
41051009803,"14000US41051009803","Census Tract 98.03, Multnomah County, Oregon","Census Tract 98.03, Multnomah County, Oregon",9803,45828,NA,NA,NA
41051009804,"14000US41051009804","Census Tract 98.04, Multnomah County, Oregon","Census Tract 98.04, Multnomah County, Oregon",9804,51318,NA,NA,NA
41051009903,"14000US41051009903","Census Tract 99.03, Multnomah County, Oregon","Census Tract 99.03, Multnomah County, Oregon",9903,87006,NA,NA,NA
41051009904,"14000US41051009904","Census Tract 99.04, Multnomah County, Oregon","Census Tract 99.04, Multnomah County, Oregon",9904,65417,NA,NA,NA
41051009905,"14000US41051009905","Census Tract 99.05, Multnomah County, Oregon","Census Tract 99.05, Multnomah County, Oregon",9905,68207,NA,NA,NA
41051009906,"14000US41051009906","Census Tract 99.06, Multnomah County, Oregon","Census Tract 99.06, Multnomah County, Oregon",9906,88346,NA,NA,NA
41051009907,"14000US41051009907","Census Tract 99.07, Multnomah County, Oregon","Census Tract 99.07, Multnomah County, Oregon",9907,72037,NA,NA,NA
41051010001,"14000US41051010001","Census Tract 100.01, Multnomah County, Oregon","Census Tract 100.01, Multnomah County, Oregon",10001,44583,NA,NA,NA
41051010002,"14000US41051010002","Census Tract 100.02, Multnomah County, Oregon","Census Tract 100.02, Multnomah County, Oregon",10002,57635,NA,NA,NA
41051010100,"14000US41051010100","Census Tract 101, Multnomah County, Oregon","Census Tract 101, Multnomah County, Oregon",10100,52452,NA,NA,NA
41051010200,"14000US41051010200","Census Tract 102, Multnomah County, Oregon","Census Tract 102, Multnomah County, Oregon",10200,60304,NA,NA,NA
41051010303,"14000US41051010303","Census Tract 103.03, Multnomah County, Oregon","Census Tract 103.03, Multnomah County, Oregon",10303,62393,NA,NA,NA
41051010304,"14000US41051010304","Census Tract 103.04, Multnomah County, Oregon","Census Tract 103.04, Multnomah County, Oregon",10304,40363,NA,NA,NA
41051010305,"14000US41051010305","Census Tract 103.05, Multnomah County, Oregon","Census Tract 103.05, Multnomah County, Oregon",10305,72230,NA,NA,NA
41051010306,"14000US41051010306","Census Tract 103.06, Multnomah County, Oregon","Census Tract 103.06, Multnomah County, Oregon",10306,67453,NA,NA,NA
41051010402,"14000US41051010402","Census Tract 104.02, Multnomah County, Oregon","Census Tract 104.02, Multnomah County, Oregon",10402,84191,NA,NA,NA
41051010405,"14000US41051010405","Census Tract 104.05, Multnomah County, Oregon","Census Tract 104.05, Multnomah County, Oregon",10405,55041,NA,NA,NA
41051010407,"14000US41051010407","Census Tract 104.07, Multnomah County, Oregon","Census Tract 104.07, Multnomah County, Oregon",10407,71071,NA,NA,NA
41051010408,"14000US41051010408","Census Tract 104.08, Multnomah County, Oregon","Census Tract 104.08, Multnomah County, Oregon",10408,60921,NA,NA,NA
41051010409,"14000US41051010409","Census Tract 104.09, Multnomah County, Oregon","Census Tract 104.09, Multnomah County, Oregon",10409,76684,NA,NA,NA
41051010410,"14000US41051010410","Census Tract 104.10, Multnomah County, Oregon","Census Tract 104.10, Multnomah County, Oregon",10410,49811,NA,NA,NA
41051010411,"14000US41051010411","Census Tract 104.11, Multnomah County, Oregon","Census Tract 104.11, Multnomah County, Oregon",10411,49091,NA,NA,NA
41051010500,"14000US41051010500","Census Tract 105, Multnomah County, Oregon","Census Tract 105, Multnomah County, Oregon",10500,80610,NA,NA,NA
